step,s_current,x_err,y_err,mag,cmd_x_pair,cmd_y_pair,tip_x,tip_y,tip_z
206,0.091400,-0.03969,-0.01142,0.04130,0.002159,0.000034,0.016975,-0.000225,0.153206
207,0.091600,-0.03719,-0.03018,0.04790,0.002159,0.000034,0.017078,-0.000226,0.153366
208,0.091800,-0.02037,-0.06030,0.06365,0.002159,0.000034,0.017174,-0.000227,0.153528
209,0.092000,-0.00829,-0.07227,0.07274,0.002159,0.000034,0.017264,-0.000227,0.153692
210,0.092200,0.00822,-0.08797,0.08836,0.002153,0.000105,0.017347,-0.000247,0.153859
211,0.092400,0.00179,-0.08327,0.08329,0.002151,0.000171,0.017424,-0.000301,0.154028
212,0.092600,-0.00746,-0.05572,0.05622,0.002151,0.000171,0.017495,-0.000370,0.154199
213,0.092800,0.00954,-0.03582,0.03707,0.002151,0.000171,0.017562,-0.000437,0.154371
214,0.093000,0.02085,-0.01896,0.02818,0.002151,0.000171,0.017625,-0.000501,0.154545
215,0.093200,0.01549,-0.02317,0.02787,0.002151,0.000171,0.017684,-0.000561,0.154720
216,0.093400,-0.02540,-0.01216,0.02816,0.002151,0.000171,0.017740,-0.000617,0.154896
217,0.093600,-0.01410,-0.00014,0.01410,0.002151,0.000171,0.017792,-0.000669,0.155074
218,0.093800,-0.04337,-0.00077,0.04338,0.002151,0.000171,0.017841,-0.000718,0.155253
219,0.094000,-0.05313,0.00408,0.05328,0.002151,0.000171,0.017887,-0.000763,0.155433
220,0.094200,-0.09590,0.00356,0.09597,0.002228,0.000169,0.017948,-0.000805,0.155607
221,0.094400,-0.10536,0.00512,0.10549,0.002312,0.000164,0.018043,-0.000843,0.155766
222,0.094600,-0.11060,0.01310,0.11138,0.002401,0.000154,0.018173,-0.000873,0.155910
223,0.094800,-0.11520,0.02526,0.11794,0.002493,0.000134,0.018340,-0.000894,0.156039
224,0.095000,-0.10020,0.03628,0.10656,0.002573,0.000105,0.018537,-0.000899,0.156153
225,0.095200,-0.09162,0.03276,0.09730,0.002646,0.000079,0.018761,-0.000894,0.156255
226,0.095400,-0.09096,0.02905,0.09548,0.002719,0.000055,0.019005,-0.000879,0.156347
227,0.095600,-0.04880,0.01026,0.04986,0.002719,0.000055,0.019253,-0.000859,0.156436
228,0.095800,-0.05200,0.01039,0.05302,0.002719,0.000055,0.019487,-0.000840,0.156529
229,0.096000,-0.04298,0.00590,0.04339,0.002719,0.000055,0.019707,-0.000821,0.156628
230,0.096200,-0.02071,0.00198,0.02081,0.002719,0.000055,0.019913,-0.000804,0.156731
231,0.096400,-0.04834,0.00131,0.04836,0.002719,0.000055,0.020106,-0.000788,0.156840
232,0.096600,-0.02140,0.01718,0.02744,0.002719,0.000055,0.020287,-0.000774,0.156953
233,0.096800,-0.02936,0.00966,0.03091,0.002719,0.000055,0.020457,-0.000760,0.157071
234,0.097000,-0.03142,0.02121,0.03791,0.002719,0.000055,0.020616,-0.000747,0.157193
235,0.097200,-0.07520,0.01661,0.07702,0.002719,0.000055,0.020766,-0.000736,0.157319
236,0.097400,-0.05923,0.02427,0.06401,0.002719,0.000055,0.020906,-0.000725,0.157450
237,0.097600,-0.07229,0.01207,0.07329,0.002719,0.000055,0.021037,-0.000715,0.157584
238,0.097800,-0.07445,0.02523,0.07861,0.002719,0.000055,0.021160,-0.000705,0.157721
239,0.098000,-0.10474,0.02344,0.10733,0.002803,0.000037,0.021295,-0.000691,0.157852
240,0.098200,-0.10870,0.01620,0.10990,0.002890,0.000024,0.021459,-0.000671,0.157967
241,0.098400,-0.09964,0.03385,0.10523,0.002970,-0.000003,0.021652,-0.000640,0.158066
242,0.098600,-0.11735,0.03442,0.12230,0.003063,-0.000031,0.021873,-0.000597,0.158149
243,0.098800,-0.11469,0.03613,0.12025,0.003155,-0.000060,0.022124,-0.000541,0.158215
244,0.099000,-0.10990,0.02401,0.11249,0.003243,-0.000079,0.022400,-0.000476,0.158265
245,0.099200,-0.09520,0.01290,0.09607,0.003319,-0.000089,0.022696,-0.000407,0.158301
246,0.099400,-0.06247,0.01760,0.06490,0.003319,-0.000089,0.022992,-0.000340,0.158335
247,0.099600,-0.06053,0.00625,0.06085,0.003319,-0.000089,0.023271,-0.000276,0.158376
248,0.099800,-0.06761,0.00805,0.06809,0.003319,-0.000089,0.023532,-0.000217,0.158425
249,0.100000,-0.01941,-0.02137,0.02887,0.003319,-0.000089,0.023776,-0.000162,0.158481
250,0.100200,-0.00866,-0.03399,0.03508,0.003319,-0.000089,0.024005,-0.000110,0.158544
251,0.100400,0.01831,-0.02833,0.03373,0.003319,-0.000089,0.024219,-0.000063,0.158614
252,0.100600,-0.02195,-0.02470,0.03305,0.003319,-0.000089,0.024419,-0.000018,0.158692
253,0.100800,0.00087,-0.01187,0.01190,0.003319,-0.000089,0.024607,0.000023,0.158775
254,0.101000,-0.00840,-0.01583,0.01792,0.003319,-0.000089,0.024782,0.000062,0.158865
255,0.101200,-0.00404,-0.00973,0.01053,0.003319,-0.000089,0.024947,0.000098,0.158961
256,0.101400,-0.01361,-0.02044,0.02456,0.003319,-0.000089,0.025101,0.000131,0.159063
257,0.101600,-0.03120,-0.02431,0.03955,0.003319,-0.000089,0.025245,0.000162,0.159170
258,0.101800,-0.02452,-0.03678,0.04420,0.003319,-0.000089,0.025380,0.000191,0.159282
259,0.102000,-0.04516,-0.02895,0.05365,0.003319,-0.000089,0.025507,0.000218,0.159399
260,0.102200,-0.06582,-0.02109,0.06912,0.003319,-0.000089,0.025625,0.000243,0.159521
261,0.102400,-0.06168,-0.02647,0.06712,0.003319,-0.000089,0.025737,0.000266,0.159647
262,0.102600,-0.06327,-0.01681,0.06547,0.003319,-0.000089,0.025841,0.000288,0.159777
263,0.102800,-0.06225,-0.02141,0.06583,0.003319,-0.000089,0.025939,0.000308,0.159912
264,0.103000,-0.05701,-0.03134,0.06506,0.003319,-0.000089,0.026030,0.000327,0.160050
265,0.103200,-0.06576,-0.03566,0.07480,0.003319,-0.000089,0.026116,0.000345,0.160191
266,0.103400,-0.06992,-0.04335,0.08227,0.003375,-0.000055,0.026208,0.000352,0.160328
267,0.103600,-0.07758,-0.03899,0.08682,0.003437,-0.000024,0.026319,0.000351,0.160452
268,0.103800,-0.07837,-0.03630,0.08636,0.003500,0.000005,0.026449,0.000342,0.160561
269,0.104000,-0.08426,-0.03130,0.08989,0.003567,0.000031,0.026599,0.000321,0.160657
270,0.104200,-0.07944,-0.04150,0.08963,0.003631,0.000064,0.026768,0.000286,0.160738
271,0.104400,-0.08818,-0.04414,0.09861,0.003701,0.000099,0.026955,0.000236,0.160805
272,0.104600,-0.10224,-0.04966,0.11366,0.003783,0.000139,0.027162,0.000169,0.160856
273,0.104800,-0.12412,-0.03217,0.12822,0.003883,0.000164,0.027395,0.000090,0.160887
274,0.105000,-0.12247,-0.01924,0.12398,0.003981,0.000180,0.027653,0.000004,0.160896
275,0.105200,-0.10121,-0.01538,0.10238,0.004062,0.000192,0.027931,-0.000083,0.160887
276,0.105400,-0.10424,-0.01972,0.10609,0.004145,0.000208,0.028226,-0.000172,0.160861
277,0.105600,-0.07349,-0.01154,0.07439,0.004145,0.000208,0.028519,-0.000258,0.160834
278,0.105800,-0.04134,-0.00957,0.04243,0.004145,0.000208,0.028794,-0.000339,0.160817
279,0.106000,-0.03793,0.01350,0.04027,0.004145,0.000208,0.029051,-0.000415,0.160812
